defensive_team,posteam,receiver,air_yards,pass_location,reception
LAC,IND,T.Hilton,-2,3,1
LAC,IND,T.Hilton,24,1,0
LAC,IND,P.Campbell,-4,1,1
LAC,IND,E.Ebron,11,2,0
IND,LAC,K.Allen,6,2,1
IND,LAC,H.Henry,17,2,1
IND,LAC,J.Jackson,-5,1,0
IND,LAC,M.Williams,17,2,1
IND,LAC,K.Allen,15,3,1
IND,LAC,NA,7,2,0
LAC,IND,N.Hines,-7,1,1
LAC,IND,T.Hilton,19,2,1
LAC,IND,D.Funchess,4,1,1
LAC,IND,D.Funchess,19,1,0
LAC,IND,T.Hilton,4,1,1
IND,LAC,H.Henry,5,1,1
IND,LAC,V.Green,1,3,1
IND,LAC,T.Benjamin,37,1,0
IND,LAC,J.Jackson,-5,3,1
IND,LAC,K.Allen,18,2,1
IND,LAC,H.Henry,17,3,1
IND,LAC,K.Allen,7,2,1
SEA,CIN,T.Boyd,2,1,1
SEA,CIN,J.Ross,17,3,0
SEA,CIN,T.Boyd,12,2,1
SEA,CIN,T.Boyd,6,1,1
SEA,CIN,J.Ross,11,3,0
SEA,CIN,J.Mixon,0,1,0
SEA,CIN,J.Mixon,-4,1,1
CIN,SEA,NA,16,1,0
CIN,SEA,DK.Metcalf,5,1,1
SEA,CIN,J.Ross,14,2,1
SEA,CIN,A.Erickson,4,2,1
SEA,CIN,T.Boyd,7,1,0
SEA,CIN,T.Boyd,12,2,1
SEA,CIN,NA,13,1,0
SEA,CIN,T.Boyd,5,1,1
SEA,CIN,D.Willis,5,2,1
SEA,CIN,A.Erickson,5,1,1
SEA,CIN,NA,13,1,0
CIN,SEA,C.Carson,-6,1,1
CIN,SEA,C.Carson,-10,2,1
CIN,SEA,W.Dissly,20,3,0
SEA,CIN,J.Ross,11,2,0
SEA,CIN,J.Mixon,0,1,1
CIN,SEA,W.Dissly,9,1,1
CIN,SEA,DK.Metcalf,10,2,1
SEA,CIN,T.Boyd,4,1,1
SEA,CIN,C.Uzomah,18,1,1
SEA,CIN,J.Ross,17,1,1
CIN,SEA,DK.Metcalf,18,2,0
SEA,CIN,T.Eifert,4,1,1
CIN,SEA,C.Carson,-5,1,1
CIN,SEA,C.Carson,1,1,0
CIN,SEA,DK.Metcalf,34,1,1
CIN,SEA,DK.Metcalf,13,1,0
CIN,SEA,C.Carson,-3,3,1
SEA,CIN,T.Boyd,4,3,1
SEA,CIN,D.Willis,13,3,1
SEA,CIN,J.Ross,4,1,0
SEA,CIN,J.Ross,43,2,1
CIN,SEA,C.Carson,-5,1,1
SEA,CIN,C.Uzomah,-3,2,1
CIN,SEA,C.Carson,-5,1,1
SEA,CIN,G.Bernard,-6,3,1
CIN,SEA,N.Vannett,8,2,1
SEA,CIN,D.Willis,10,3,0
SEA,CIN,T.Eifert,1,1,1
SEA,CIN,T.Eifert,7,1,1
SEA,CIN,J.Ross,21,1,1
SEA,CIN,J.Ross,29,3,0
SEA,CIN,C.Uzomah,-4,3,1
SEA,CIN,T.Boyd,18,3,0
CIN,SEA,DK.Metcalf,24,2,1
CIN,SEA,T.Lockett,38,2,1
SEA,CIN,G.Bernard,2,2,1
SEA,CIN,J.Ross,-3,1,1
SEA,CIN,A.Erickson,13,1,1
SEA,CIN,J.Ross,11,1,1
SEA,CIN,C.Uzomah,5,1,1
SEA,CIN,C.Uzomah,0,2,0
SEA,CIN,T.Boyd,5,3,1
SEA,CIN,G.Bernard,3,1,0
SEA,CIN,J.Ross,-3,3,1
CIN,SEA,T.Lockett,30,3,0
CIN,SEA,N.Vannett,5,3,1
SEA,CIN,D.Willis,8,3,1
SEA,CIN,D.Willis,13,1,0
SEA,CIN,T.Eifert,5,3,1
SEA,CIN,T.Boyd,0,1,0
SEA,CIN,A.Erickson,3,3,1
SEA,CIN,T.Boyd,0,2,0
SEA,CIN,T.Eifert,6,1,1
SF,TB,O.Howard,0,3,1
SF,TB,C.Godwin,0,1,0
TB,SF,G.Kittle,6,1,1
TB,SF,G.Kittle,18,1,0
TB,SF,G.Kittle,0,3,1
SF,TB,C.Godwin,25,1,0
SF,TB,B.Perriman,0,3,0
SF,TB,M.Evans,12,3,0
SF,TB,B.Wilson,9,1,0
TB,SF,M.Goodwin,5,2,1
TB,SF,T.Coleman,0,2,1
SF,TB,B.Perriman,5,1,1
SF,TB,M.Evans,16,2,1
SF,TB,P.Barber,0,3,1
SF,TB,C.Godwin,6,1,1
SF,TB,C.Brate,0,3,1
SF,TB,P.Barber,1,3,0
SF,TB,R.Jones,-1,1,1
SF,TB,NA,9,2,0
SF,TB,O.Howard,5,1,1
TB,SF,D.Samuel,10,2,1
TB,SF,D.Samuel,0,2,1
TB,SF,NA,3,1,0
TB,SF,T.Coleman,1,2,1
TB,SF,D.Pettis,6,3,1
TB,SF,R.Mostert,0,3,1
TB,SF,K.Bourne,6,3,1
TB,SF,K.Bourne,18,3,0
SF,TB,NA,5,2,0
TB,SF,G.Kittle,0,2,1
TB,SF,G.Kittle,0,3,1
